Home Team,Away Team,Bet Team,Odds,Bookmaker,Expected Value (%),Edge (%),Model Probability (%),Implied Probability (%)
Stanford Cardinal,Notre Dame Fighting Irish,Stanford Cardinal,4000,FanDuel,123.45,3.01,5.5,2.4
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1300,FanDuel,69.96,5.00,12.1,7.1
West Virginia Mountaineers,Texas Tech Red Raiders,West Virginia Mountaineers,1500,FanDuel,54.08,3.38,9.6,6.2
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1100,DraftKings,45.68,3.81,12.1,8.3
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1100,BetMGM,45.68,3.81,12.1,8.3
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1075,BetUS,42.64,3.63,12.1,8.5
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1069,LowVig.ag,41.92,3.59,12.1,8.6
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1069,BetOnline.ag,41.92,3.59,12.1,8.6
Stanford Cardinal,Notre Dame Fighting Irish,Stanford Cardinal,2500,DraftKings,41.70,1.60,5.5,3.8
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,360,FanDuel,41.36,8.99,30.7,21.7
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,360,MyBookie.ag,41.36,8.99,30.7,21.7
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,355,BetUS,39.82,8.75,30.7,22.0
Syracuse Orange,Boston College Eagles,Syracuse Orange,135,LowVig.ag,38.56,16.41,59.0,42.6
Syracuse Orange,Boston College Eagles,Syracuse Orange,135,BetOnline.ag,38.56,16.41,59.0,42.6
Syracuse Orange,Boston College Eagles,Syracuse Orange,135,Bovada,38.56,16.41,59.0,42.6
Syracuse Orange,Boston College Eagles,Syracuse Orange,135,BetMGM,38.56,16.41,59.0,42.6
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,350,DraftKings,38.29,8.51,30.7,22.2
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,350,LowVig.ag,38.29,8.51,30.7,22.2
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,350,BetOnline.ag,38.29,8.51,30.7,22.2
Syracuse Orange,Boston College Eagles,Syracuse Orange,134,BetUS,37.97,16.22,59.0,42.7
Syracuse Orange,Boston College Eagles,Syracuse Orange,130,DraftKings,35.61,15.48,59.0,43.5
Rutgers Scarlet Knights,Penn State Nittany Lions,Rutgers Scarlet Knights,455,DraftKings,35.42,6.38,24.4,18.0
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,340,BetMGM,35.21,8.00,30.7,22.7
Coastal Carolina Chanticleers,James Madison Dukes,Coastal Carolina Chanticleers,1013,MyBookie.ag,35.12,3.16,12.1,9.0
Central Michigan Chippewas,Toledo Rockets,Central Michigan Chippewas,360,FanDuel,34.69,7.54,29.3,21.7
Syracuse Orange,Boston College Eagles,Syracuse Orange,128,MyBookie.ag,34.43,15.10,59.0,43.9
Kansas State Wildcats,Colorado Buffaloes,Colorado Buffaloes,640,FanDuel,33.64,4.55,18.1,13.5
Southern Mississippi Golden Eagles,Troy Trojans,Troy Trojans,212,MyBookie.ag,33.16,10.63,42.7,32.1
Southern Mississippi Golden Eagles,Troy Trojans,Troy Trojans,210,Bovada,32.31,10.42,42.7,32.3
Sam Houston State Bearkats,Florida International Panthers,Sam Houston State Bearkats,330,Bovada,32.14,7.47,30.7,23.3
