Home Team,Away Team,Bet Team,Spread,Odds,Bookmaker,Expected Value (%),Edge (%),Model Spread,Model Probability (%),Implied Probability (%)
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-7.5,-110,BetUS,8.09,4.24,9.5,56.6,52.4
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-8.0,-105,LowVig.ag,7.33,3.75,9.5,55.0,51.2
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-7.5,-112,DraftKings,7.17,3.79,9.5,56.6,52.8
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-7.5,-113,BetRivers,6.72,3.57,9.5,56.6,53.1
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-7.5,-114,FanDuel,6.28,3.35,9.5,56.6,53.3
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-7.5,-115,BetMGM,5.85,3.13,9.5,56.6,53.5
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-8.0,-109,BetOnline.ag,5.41,2.82,9.5,55.0,52.2
Ohio State Buckeyes,Miami Hurricanes,Ohio State Buckeyes,-8.0,-110,Bovada,4.95,2.59,9.5,55.0,52.4
Cincinnati Bearcats,Navy Midshipmen,Cincinnati Bearcats,8.5,-110,FanDuel,1.79,0.94,-7.5,53.3,52.4
Indiana Hoosiers,Alabama Crimson Tide,Alabama Crimson Tide,7.0,102,LowVig.ag,1.00,0.50,7.0,50.0,49.5
Georgia Bulldogs,Ole Miss Rebels,Ole Miss Rebels,6.5,-105,Bovada,0.86,0.44,6.0,51.7,51.2
